,sample_name,sample_material,sample_type,latitude,longitude,elevation_ground,min_depth,max_depth,location_type,location_name,location_comment,Er,Eu,Dy,Zr,Tb,Gd,Zn,Cu,S,Ho,La,Ni,Yb,V,Y,Sm,Ce,Cr,Nd,Sr,Ba,Co,Lu,Pr,Tm,Pt,Hf,Sc,Pd,Th,Nb,Ta,P2O5,SiO2,MnO,CaO,TiO2,Fe2O3,K2O,Cr2O3,FeO,Al2O3,Na2O,MgO
0,LITH03626751-BD001-040.00,Dacite,Rock,-30.19,121.82,365,-40.0,-40.0,Unknown,Binti Binti,,1.91,1.08,3.32,137.95,0.54,3.12,70.0,46.24,1300.0,0.68,14.6,,1.76,116.8,20.13,3.42,33.23,43.0,16.11,354.45,117.81,21.11,0.31,3.92,0.28,,,,,2.51,,,0.18,59.11,0.16,10.43,0.76,0.71,0.13,0.006328452,5.76,16.21,3.2,3.29
1,LITH03626751-KJS318-2,Basalt,Rock,-29.29,120.56,442,0.0,0.0,Unknown,Kurrajong,"Kurrajong, Walter Williams",3.69,0.87,5.12,30.75,0.76,4.71,,30.88,,1.29,5.12,839.95,2.76,223.86,,2.2,2.46,1894.0,6.76,,,78.52,0.45,1.16,,0.00666,,,0.00871,0.2,1.02,,0.007175648,50.14,0.23,14.76,0.34,1.09,0.09,0.27,8.88,7.21,0.58,16.29
4,LITH03626751-AMP-HM-120524-023A,Basalt,Rock,-21.408455,117.15948,337,0.0,0.0,Unknown,Hamersley Basin North,"North Hamersley Basin, North Hamersley Basin",2.32,0.82,3.76,117.56,0.57,3.63,41.25,40.63,72.20039,0.82,16.48,0.0,2.0,183.39,20.81,3.36,32.86,8.0,15.24,38.42,324.54,21.12,0.28,3.79,0.28,,3.19,21.63,,6.28,7.1,0.72,0.1,73.04,0.03,5.52,0.7,0.32,1.7,0.001205819,2.59,12.36,2.03,0.03
6,LITH03626751-AMP-HM-120529-056,Basalt,Rock,-22.647785,117.77127,805,0.0,0.0,Unknown,Pipeline,"North of Tom Price Syncline, South Hamersley Basin",3.33,1.1,5.06,148.66,0.82,4.76,71.23,33.37,72.33004,1.18,23.84,0.0,3.1,233.31,28.39,4.77,47.79,106.0,22.81,151.65,324.37,40.6,0.48,5.86,0.42,,4.43,32.0,,7.86,9.18,0.72,0.14,55.93,0.13,10.92,0.93,0.96,0.55,0.01,7.85,16.52,1.81,4.19
9,LITH03626751-GSWA-165366,Basalt,Rock,-28.07,119.22,523,0.0,0.0,Unknown,Sandstone Belt,GSWA-SOUTHERN CROSS,3.01,1.27,4.88,97.84,0.86,4.96,94.34,121.75,0.0,1.04,6.82,0.0,2.54,439.17,25.48,3.8,17.97,43.0,12.74,81.84,36.4,,0.35,2.46,,0.0248,2.61,51.19,0.02341,0.68,4.55,0.22,0.14,51.44,0.1,5.64,1.27,1.32,0.06,0.006318899,10.68,15.26,4.93,9.09
10,LITH03626751-GSWA-165390,Basalt,Rock,-28.17,119.48,472,0.0,0.0,Unknown,Sandstone Belt,GSWA-SOUTHERN CROSS,2.09,0.87,3.54,62.36,0.6,3.3,73.79,119.8,95.84387,0.72,4.12,0.0,1.96,306.61,20.26,2.31,10.8,792.0,8.14,99.78,78.99,,0.25,1.49,,0.00072,1.76,41.57,0.00103,0.41,3.11,0.1,0.08,52.83,0.16,9.52,1.0,1.22,0.14,0.11,9.9,11.53,3.46,9.97
14,LITH03626751-HWD03-300.40,Basalt,Rock,-26.89,120.38,503,0.0,0.0,Unknown,Honeymoon Well,East side barren flows,,,,,,,45.0,25.0,3700.0,,,3501.15,,,,,,1653.0,,,,,,,,,,,,,,,0.0,43.24,0.19,6.9,0.06,0.07,0.01,0.24,3.13,1.22,0.01,44.57
16,LITH03626751-r081-45.60-45.80,Andesite,Rock,0.06766246,22.542393,474,-46.0,-46.0,Unknown,Sattaskongas,"Sattaskongas volcanics, Lapland Prot",,,,172.1,,,142.21,79.42,300.0,,,,,306.07,26.79,,,101.0,,121.6,66.98,40.22,,,,,,,,,,,0.26,51.79,0.24,7.76,2.28,1.57,0.21,0.01,12.74,13.22,4.66,5.2
18,LITH03626751-HWD38-240.80,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,,389.0,7700.0,,,4358.24,,,,,,1658.0,,,,,,,,,,,,,,,0.0,40.25,0.03,0.15,0.04,0.0,0.01,0.24,4.67,0.65,0.06,52.99
23,LITH03626751-r083-23.70-23.85,Basalt,Rock,0.06766165,22.54239,474,-24.0,-24.0,Unknown,Sattaskongas,"Sattaskongas volcanics, Lapland Prot",,,,175.58,,,177.65,70.34,100.0,,,,,334.64,26.85,,,137.0,,181.78,2.06,40.34,,,,,,,,,,,0.24,50.11,0.24,8.48,2.35,1.57,0.35,0.02,12.77,13.61,4.13,6.09
25,LITH03626751-HWD38-211.50,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,,100.0,3500.0,,,4048.94,,,,,,1649.0,,,,,,,,,,,,,,,0.0,42.79,0.06,0.67,0.03,0.0,0.01,0.24,4.79,0.64,0.06,49.98
27,LITH03626751-AMP-HM-120527-038,Basalt,Rock,-23.01171,117.891,553,0.0,0.0,Unknown,Tom Price South,"South of Tom Price Syncline, South Hamersley Basin",2.37,0.81,3.55,75.08,0.54,3.26,83.53,26.26,100.0,0.88,7.71,0.0,2.21,183.99,21.25,2.38,17.13,1078.0,10.57,33.2,124.99,71.89,0.35,2.23,0.33,,2.22,31.72,,1.41,3.8,0.31,0.12,54.14,0.16,7.03,0.81,1.33,0.05,0.15,10.77,9.18,0.58,15.75
29,LITH03626751-21613/1,Basalt,Rock,-27.24,120.53,556,0.0,0.0,Unknown,Mount Keith Monument Unit,Monument Unit,,,,,,,94.94,85.2,51.43795,,,412.73,,,,,,1199.0,,,0.0,,,,,,,,,,,,0.0,52.2,0.2,12.05,0.62,1.23,0.09,0.17,9.99,9.74,2.37,11.27
32,LITH03626751-BSD091-357.20,Dacite,Rock,-30.39,121.63,376,-357.0,-357.0,Unknown,Black Swan,"Silver Swan, upper felsics",,,,146.22,,,4.0,6.18,,,,,,147.25,12.35,,,55.0,,206.98,274.95,3.09,,,,,,,,,15.0,,0.24,71.37,0.007208467,1.67,0.66,0.13,1.49,0.007976843,1.07,16.06,5.79,1.45
33,LITH03626751-SXB04701,Basalt,Rock,-31.34,119.41,395,-37.0,-37.0,Unknown,Glendower,Target 10,1.61,1.25,2.96,46.15,0.41,2.91,100.23,108.75,,0.58,4.78,915.6,1.45,221.22,,2.59,13.93,2106.0,9.04,,,101.5,0.16,1.87,0.22,0.02287,0.0,,0.01663,0.62,2.59,0.0,0.06,50.99,0.21,7.8,0.82,1.56,0.18,0.3,12.71,6.56,1.48,17.15
35,LITH03626751-AMP-HM-120522-010B,Basalt,Rock,-22.786566,117.495094,490,0.0,0.0,Unknown,Rocklea Dome North,"South of Tom Price Syncline, South Hamersley Basin",3.15,1.22,4.67,93.47,0.73,4.44,69.37,7.04,200.0,1.1,10.07,0.0,2.88,212.91,27.1,3.85,22.32,170.0,15.16,154.23,218.59,43.33,0.46,3.24,0.46,,2.59,33.23,,1.71,4.67,0.62,0.15,51.72,7.46,9.47,0.98,1.12,0.22,0.02,9.05,16.42,3.19,0.15
37,LITH03626751-AgC030,Dacite,Rock,-28.0,120.5,513,-684.0,-683.5,Unknown,Agnew-Crusader,"Southern Seismic Line, Mine Corridor, AGNEW GOLD MINING COMPANY PTY LTD",1.42,0.86,2.47,102.18,0.4,2.65,56.76,39.22,2200.0,0.49,12.47,0.0,1.34,143.47,12.66,2.91,26.11,62.0,13.31,139.85,152.65,22.7,0.2,3.21,0.2,0.00049,2.89,15.58,0.00035,2.76,2.56,0.16,0.11,63.56,0.09,6.76,0.66,0.68,0.68,0.005732506,5.57,14.95,4.77,2.22
41,LITH03626751-Fort2015-HM-68A,Basalt,Rock,-21.634752,116.54473,255,0.0,0.0,Unknown,Hamersley Basin North,HiTh Mafic North,4.41,1.64,6.97,202.23,1.12,6.98,114.21,101.32,300.0,1.47,34.26,0.0,4.08,227.37,38.87,7.0,68.0,0.0,32.16,283.33,984.74,48.09,0.6,8.04,0.64,,5.55,31.43,,10.48,13.09,1.25,0.18,59.07,0.15,7.15,1.15,1.09,2.46,0.0,8.87,13.78,2.25,3.81
42,LITH03626751-LMCD005-295.2,Basalt,Rock,-28.49,121.08,454,-295.0,-295.0,Unknown,Mount Clifford/Marshall Pool,"Mount Newman, SCOTIA NICKEL LTD",0.51,0.23,0.81,7.98,0.12,0.67,,49.27,800.0,0.17,0.61,2960.17,0.5,83.31,4.56,0.5,1.67,2256.0,1.42,9.13,,,0.07,0.26,0.07,0.0065,0.34,,0.00867,,0.34,,0.02,45.37,0.15,1.15,0.19,0.44,0.02,0.32,9.0,3.92,0.02,39.1
44,LITH03626751-HWD19-366.30,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,32.0,32.0,3700.0,,,2537.98,,,,,,1314.0,,,,96.0,,,,,,,,,,,0.0,42.18,0.26,15.01,0.1,0.31,0.13,0.19,4.33,2.6,0.02,34.74
47,LITH03626751-BSD063B-453.45A,Dacite,Rock,-30.39,121.63,376,-453.0,-453.0,Unknown,Black Swan,"Silver Swan, upper felsics",,,,147.59,,,4.0,19.5,500.0,,,,,69.15,16.44,,,58.0,,64.75,350.92,10.3,,,,,,,,,13.0,,0.24,75.18,0.01,0.42,0.7,0.11,3.89,0.008145893,0.91,17.12,0.66,0.61
50,LITH03626751-AMP-HM-120521-003I,Basalt,Rock,-23.0958,117.87456,504,0.0,0.0,Unknown,Paraburdoo East,"South of Tom Price Syncline, South Hamersley Basin",3.12,1.07,4.59,111.85,0.72,4.02,93.21,150.49,20.74324,1.09,10.66,0.0,2.78,225.78,26.2,3.25,24.54,248.0,13.67,163.12,375.54,53.41,0.4,3.2,0.43,,3.1,32.1,,2.75,6.93,0.82,0.16,51.87,0.19,8.36,1.22,1.27,0.84,0.03,10.3,15.0,4.29,6.42
51,LITH03626751-Fort2015-45771A,Basalt,Rock,-21.59,117.54,348,0.0,0.0,Unknown,Hamersley Basin North,,5.19,1.93,8.27,247.35,,7.87,114.16,52.92,0.0,1.81,40.38,0.0,4.85,271.67,44.39,8.16,79.91,22.0,36.15,80.33,0.0,53.97,0.73,,,,,35.94,,13.74,13.74,,0.17,64.48,0.23,2.66,1.33,1.2,2.11,0.003244432,9.74,12.47,3.38,2.18
52,LITH03626751-WP-76,Basalt,Rock,70.04,25.1,52,0.0,0.0,Unknown,Karasjok,Karasjok,1.04,0.62,2.09,,,,,188.56,,,1.57,964.35,1.04,175.98,,1.04,3.66,1706.0,2.61,,,,,,,0.0068,0.62,,0.00261,0.31,1.78,,0.02,50.7,0.2,10.68,0.49,1.05,0.24,0.02,8.56,8.67,1.61,17.7
54,LITH03626751-HWD38-114.50,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,,2112.0,18700.0,,,3054.32,,,,,,1757.0,,,,,,,,,,,,,,,0.0,48.05,0.1,0.94,0.06,0.41,0.04,0.25,7.91,0.21,0.44,40.06
56,LITH03626751-BSD046-293.30,Dacite,Rock,-30.38,121.64,376,-293.0,-293.0,Unknown,Black Swan,"North of SS, lower felsics",0.98,0.87,2.18,109.38,0.43,2.73,46.0,40.47,100.0,0.32,19.68,,0.87,111.57,15.31,3.06,38.28,37.0,16.4,339.1,414.58,12.03,0.1,4.15,0.21,,,,,2.73,,,0.2,65.23,0.11,5.31,0.8,0.43,2.19,0.005435784,3.54,16.92,3.46,1.73
57,LITH03626751-SED109-217.57,Rhyolite,Rock,-32.71,119.81,393,0.0,0.0,Unknown,Digger Rocks,Eastern (S),1.23,0.73,2.07,165.0,2.44,0.36,99.0,17.0,100.0,0.44,24.85,,1.32,72.0,12.0,2.97,45.73,,17.1,116.0,697.0,44.0,0.2,4.92,,,,9.0,,,,,0.0,70.22,0.04,1.16,0.51,0.31,2.13,0.0,2.58,15.04,5.41,2.54
58,LITH03626751-DR-11,Dacite,Rock,-32.71,119.81,393,0.0,0.0,Unknown,Digger Rocks,Eastern (S),,,,102.0,,,35.0,1.0,100.0,,,,,62.0,26.0,,,,,288.0,103.0,72.0,,,,,,,,,,,0.0,63.8,0.15,4.36,0.79,0.98,0.15,0.0,7.95,14.09,5.16,2.5
59,LITH03626751-AMP-HM-120529-059E,Basalt,Rock,-22.628637,117.7439,736,0.0,0.0,Unknown,Pipeline,"North of Tom Price Syncline, South Hamersley Basin",4.28,1.45,6.43,181.78,1.02,6.06,128.94,62.27,200.0,1.42,31.7,0.0,3.84,292.75,35.51,6.26,64.47,43.0,29.27,170.26,446.43,41.55,0.64,7.49,0.65,,5.28,33.82,,10.36,11.2,0.95,0.15,60.88,0.16,7.08,1.17,1.12,2.06,0.006341358,9.13,13.41,1.88,2.92
60,LITH03626751-BSD090A-395.4,Dacite,Rock,-30.39,121.63,376,-395.0,-395.0,Unknown,Black Swan,"Cygnet, Silver Swan-Cygnet",0.67,0.5,1.16,72.72,0.2,1.73,98.0,124.39,100.0,0.21,8.05,,0.82,239.42,20.13,2.12,17.34,361.0,9.39,220.4,60.41,47.06,0.14,2.23,0.11,,,,,1.11,,,0.09,55.19,0.13,4.53,0.8,1.26,0.27,0.05,10.26,15.3,2.37,9.72
61,LITH03626751-r084-15.40-15.70,Basalt,Rock,0.0676612,22.54239,474,-15.0,-15.0,Unknown,Sattaskongas,"Sattaskongas volcanics, Lapland Prot",,,,140.63,,,130.44,203.17,100.0,,,,,299.62,23.43,,,345.0,,399.49,36.68,42.88,,,,,,,,,,,0.22,50.32,0.23,10.5,2.04,1.52,0.28,0.05,12.35,12.23,3.13,7.07
63,LITH03626751-EG 4526,Dolerite,Rock,-30.78,121.51,280,-592.0,-592.0,Unknown,Golden Mile Dolerite,unit6,2.43,0.81,3.92,56.31,0.68,3.32,87.78,162.91,200.0,0.81,3.21,,2.25,770.82,24.73,2.46,9.31,214.0,7.17,121.29,11.24,57.7,0.35,1.41,0.35,,1.71,,,0.21,2.14,0.1,0.08,50.87,0.19,8.99,1.38,1.62,0.05,0.03,13.13,14.59,2.14,6.88
64,LITH03626751-HWD03-143.10,Basalt,Rock,-26.89,120.38,503,0.0,0.0,Unknown,Honeymoon Well,East side barren flows,,,,,,,53.0,17.0,3500.0,,,3690.29,,,,,,6919.0,,,,133.0,,,,,,,,,,,0.0,46.22,0.13,0.01,0.05,0.07,0.02,1.01,4.49,1.47,0.06,46.45
65,LITH03626751-HWD26A-325.70,Basalt,Rock,-26.89,120.38,503,0.0,0.0,Unknown,Honeymoon Well,East side barren flows,,,,,,,42.0,0.0,600.0,,,4160.32,,,,,,1372.0,,,,150.0,,,,,,,,,,,0.0,42.25,0.04,0.0,0.01,0.0,0.05,0.2,5.75,0.12,0.08,51.07
66,LITH03626751-ELD001-236.2,Dacite,Rock,-30.28,121.95,429,-236.0,-236.0,Unknown,Emu Lake,SIR SAMUEL MINES NL,,,,151.65,,,60.0,46.89,1600.0,,,,,125.19,17.34,,,76.0,,579.15,1371.04,15.25,,,,,,,,,,,0.21,57.73,0.11,7.64,0.97,0.78,1.94,0.01,6.4,15.52,5.47,3.17
67,LITH03626751-AMP-HM-120529-057,Basalt,Rock,-22.570484,117.62221,637,0.0,0.0,Unknown,Railroad,"North of Tom Price Syncline, South Hamersley Basin",1.97,0.88,2.97,53.21,0.46,2.72,460.18,119.19,1100.0,0.7,3.33,0.0,1.88,270.26,16.17,1.96,8.34,543.0,6.26,266.92,159.34,49.44,0.3,1.24,0.3,,1.66,44.87,,0.55,2.29,0.31,0.06,50.68,0.22,11.78,0.88,1.2,0.6,0.07,9.73,15.47,1.57,7.81
69,LITH03626751-LMCD005-287.1,Basalt,Rock,-28.49,121.08,454,-287.0,-287.0,Unknown,Mount Clifford/Marshall Pool,"Mount Newman, SCOTIA NICKEL LTD",0.97,0.19,1.49,20.87,0.21,1.12,,26.52,200.0,0.32,0.74,2115.37,0.97,141.74,8.79,0.76,2.17,2680.0,2.02,14.28,,,0.14,0.37,0.14,0.00813,0.65,,0.00791,0.1,0.76,,0.03,45.59,0.15,5.91,0.36,0.88,0.04,0.39,9.43,6.65,0.05,30.29
70,LITH03626751-AMP-HM-120527-034C,Basalt,Rock,-22.847765,117.80366,667,0.0,0.0,Unknown,Tom Price South,"South of Tom Price Syncline, South Hamersley Basin",3.45,1.17,5.25,145.62,0.82,4.83,74.86,89.81,61.58494,1.19,23.28,0.0,3.08,192.8,27.89,4.82,48.2,119.0,23.38,61.43,345.4,39.72,0.5,5.89,0.46,,4.2,29.74,,8.0,9.43,0.82,0.14,58.66,0.13,7.31,0.93,0.9,0.64,0.01,7.3,14.63,4.16,5.15
71,LITH03626751-KD6068-710.9,Basalt,Rock,-31.2,121.69,289,-710.9,-710.9,Unknown,Long-Victor,,0.53,0.14,0.79,7.98,0.11,0.59,0.0,68.47,1800.0,0.18,0.38,3100.16,0.56,111.82,5.7,0.45,1.14,1805.0,0.98,6.84,,0.0,0.08,0.17,0.08,0.00369,0.0,,0.00384,,0.42,0.0,0.01,46.31,0.1,0.53,0.17,0.29,0.02,0.26,6.85,4.62,0.06,40.53
73,LITH03626751-BD002-249.0,Dacite,Rock,-30.19,121.82,365,-249.0,-249.0,Unknown,Binti Binti,,,,,156.97,,,74.0,9.36,83.22083,,,,,109.15,20.79,,,59.0,,198.55,76.92,16.64,,,,,,,,,,,0.22,64.84,0.05,2.25,0.88,0.67,0.21,0.008660384,5.49,15.77,6.21,3.33
75,LITH03626751-AMP-HM-120527-031A,Basalt,Rock,-22.801474,117.87161,677,0.0,0.0,Unknown,Tom Price South,"South of Tom Price Syncline, South Hamersley Basin",3.83,1.29,5.58,126.12,0.89,5.15,86.84,63.85,41.39859,1.29,12.3,0.0,3.47,205.73,30.91,4.17,28.63,106.0,17.05,154.76,250.29,41.29,0.54,3.76,0.6,,3.61,28.94,,2.55,5.99,0.51,0.19,54.85,0.11,7.89,1.13,1.12,0.67,0.01,9.08,15.5,3.15,6.25
81,LITH03626751-AMP-HM-120522-006G,Basalt,Rock,-22.92346,117.36786,437,0.0,0.0,Unknown,Rocklea Dome South,"South of Tom Price Syncline, South Hamersley Basin",2.99,1.12,4.74,107.11,0.77,4.5,80.07,58.72,10.41255,1.1,9.67,0.0,2.8,215.26,25.89,3.62,22.46,498.0,14.24,71.65,84.75,45.6,0.39,3.05,0.49,,3.01,31.19,,1.84,5.19,0.51,0.15,57.32,0.13,5.26,1.01,1.08,0.24,0.07,8.79,13.07,4.31,8.56
82,LITH03626751-CBD020-219.60,Andesite,Rock,-32.58,119.74,422,0.0,0.0,Unknown,Cosmic Boy,Eastern (N),0.5,0.32,0.65,,0.1,0.7,10.0,15.0,100.0,0.17,1.32,,0.5,5.0,4.0,0.37,2.03,,1.35,10.0,200.0,7.0,0.09,0.28,0.08,,,2.0,,,,,0.0,56.27,0.03,0.82,0.01,4.54,0.01,0.0,36.84,0.06,0.06,1.33
83,LITH03626751-BSD086-208.29,Dacite,Rock,-30.39,121.65,368,-208.0,-208.0,Unknown,Black Swan,"Southern flank, upper felsics",,,,73.52,,,78.0,124.46,1100.0,,,367.04,,217.13,16.08,,,2940.0,,59.73,22.97,115.24,,,,,,,,,,,0.05,51.13,0.17,7.07,0.6,1.3,0.04,0.42,10.53,14.21,3.6,10.86
84,LITH03626751-AMP-HM-120521-007B,Basalt,Rock,-22.924353,117.364395,428,0.0,0.0,Unknown,Rocklea Dome South,"South of Tom Price Syncline, South Hamersley Basin",2.81,1.13,4.1,84.91,0.66,3.67,105.08,44.87,21.26642,0.92,8.27,0.0,2.44,189.99,22.92,2.82,17.93,1503.0,10.93,14.43,31.84,70.17,0.37,2.46,0.39,,2.33,30.78,,1.6,4.13,0.53,0.11,54.4,0.16,5.61,0.76,1.31,0.1,0.21,10.63,10.4,0.49,15.91
86,LITH03626751-BSD085-127.75,Dacite,Rock,-30.39,121.63,376,-128.0,-128.0,Unknown,Black Swan,"Southern flank, Southern flank",0.52,0.53,1.09,100.19,0.18,1.34,40.0,177.0,1500.0,0.18,10.55,,0.52,65.71,5.39,1.61,19.92,479.0,8.4,212.23,138.0,17.0,0.07,2.2,0.07,,,,,2.47,,,0.09,69.75,0.06,4.34,0.36,0.28,0.75,0.07,2.25,14.22,5.38,2.43
88,LITH03626751-GD001-287.0,Dolerite,Rock,-30.18,121.45,427,0.0,0.0,Unknown,Gindalbie,Red Dam channel,2.66,0.81,4.4,62.45,0.61,3.48,116.0,114.0,500.0,0.92,2.96,,2.55,282.56,21.5,2.45,8.39,205.0,7.16,101.35,25.0,48.0,0.4,1.33,0.4,,,,,0.2,,,0.08,49.03,0.2,9.41,1.06,1.48,0.36,0.03,12.0,15.79,1.5,9.06
91,LITH03626751-EG 4522,Dolerite,Rock,-30.78,121.51,280,-590.0,-590.0,Unknown,Golden Mile Dolerite,unit5,2.13,0.79,3.62,47.03,0.52,2.77,57.04,134.57,700.0,0.74,2.36,,2.06,287.37,20.88,2.15,7.53,,6.56,161.55,24.75,54.41,0.3,1.16,0.29,,1.39,,,0.21,1.93,0.1,0.07,52.35,0.17,11.22,0.75,1.26,0.07,0.006292341,10.25,14.83,2.32,6.66
92,LITH03626751-BD11-179.65,Basalt,Rock,-32.5,119.68,393,0.0,0.0,Unknown,Boojum,"Western, U1",,,,64.0,,,84.0,67.0,700.0,,,,,250.0,23.0,,,623.0,,109.0,9.0,74.0,,,,,,,,,,,0.0,53.09,0.19,9.34,0.87,1.04,0.64,0.09,8.44,13.54,3.22,9.5
93,LITH03626751-SXB04677,Rhyolite,Rock,-31.02,119.12,373,-66.0,-66.0,Unknown,Bullfinch,"Target 05, SONS OF GWALIA LTD",0.21,0.1,0.37,7.86,0.05,0.21,170.76,34.78,300.0,0.08,1.16,,0.26,53.55,,0.31,1.59,11561.0,1.22,,,165.79,0.04,0.29,0.02,,0.0,,,0.31,1.06,0.0,0.01,74.22,0.12,0.19,0.1,2.23,0.06,1.68,18.11,1.64,0.15,1.02
94,LITH03626751-CBD085-244.5,Andesite,Rock,-32.58,119.74,422,0.0,0.0,Unknown,Cosmic Boy,Eastern (N),2.57,1.1,4.15,111.0,0.66,3.76,138.0,81.0,200.0,0.91,5.27,,2.65,426.0,29.0,2.96,13.38,,9.78,81.0,47.0,77.0,0.41,2.05,,,,38.0,,0.9,7.68,,0.0,58.05,0.27,8.51,1.58,1.08,0.23,0.0,8.79,14.74,2.25,4.46
95,LITH03626751-21609/C,Basalt,Rock,-27.24,120.53,556,0.0,0.0,Unknown,Mount Keith Monument Unit,Monument Unit,,,,,,,84.97,80.15,100.0,,,551.06,,,,,,810.0,,,0.0,,,,,,,,,,,,0.0,50.79,0.18,9.89,0.57,1.24,0.09,0.11,10.07,11.13,3.0,12.84
99,LITH03626751-MKD19-1054,Andesite,Rock,-27.21,120.54,548,0.0,0.0,Unknown,Mount Keith MKD5 Deposit,MKD5 pod south,,,,,,,65.09,40.09,200.0,,,,,,,,,20.0,,,0.0,,,,,,,,,,,,0.0,57.57,0.23,5.67,1.71,1.5,0.67,0.002927263,12.22,13.55,2.27,4.57
101,LITH03626751-HWD19-373.10,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,84.0,28.0,500.0,,,2103.89,,,,,,3309.0,,,,113.0,,,,,,,,,,,0.0,45.93,0.2,5.22,0.36,0.88,0.05,0.48,9.38,6.86,0.09,30.17
104,LITH03626751-RLD001-140.7,Andesite,Rock,-29.77,121.76,366,-141.0,-141.0,Unknown,Ringlock,,,,,186.82,,,35.0,6.14,900.0,,,,,140.62,25.66,,,51.0,,712.38,2904.96,18.44,,,,,,,,,,,0.49,58.74,0.14,4.42,0.7,0.71,3.75,0.007501258,5.76,17.03,4.12,4.08
105,LITH03626751-BSD043a-344.62,Dacite,Rock,-30.39,121.63,376,-345.0,-345.0,Unknown,Black Swan,"Cygnet, lower felsics",0.84,0.67,1.52,141.4,0.25,1.74,66.0,83.46,1700.0,0.28,15.77,,0.95,145.76,17.4,2.5,32.63,38.0,14.68,588.48,410.08,24.93,0.6,3.69,0.13,,,,,3.26,,,0.04,65.23,0.13,3.88,0.8,0.84,0.71,0.005564339,6.82,16.69,1.75,3.05
106,LITH03626751-Fort2015-HM-107,Basalt,Rock,-21.483978,117.15212,313,0.0,0.0,Unknown,Hamersley Basin North,HiTh Mafic North,3.89,1.45,6.15,169.4,0.93,5.97,96.65,75.6,100.0,1.29,29.09,0.0,3.68,198.5,35.02,5.86,57.88,64.0,27.64,222.92,381.2,45.65,0.53,6.94,0.54,,4.57,28.06,,8.36,10.18,0.93,0.16,56.19,0.15,8.42,0.99,1.06,1.25,0.009353451,8.64,15.18,2.58,5.31
107,LITH03626751-AMP-HM-120524-021A,Basalt,Rock,-21.389334,117.15281,335,0.0,0.0,Unknown,Hamersley Basin North,"North Hamersley Basin, North Hamersley Basin",3.38,1.07,4.92,130.2,0.8,4.81,88.54,80.15,100.0,1.11,22.5,0.0,2.95,197.91,27.29,4.53,46.56,107.0,21.14,315.73,854.16,52.11,0.45,5.38,0.46,,3.85,29.16,,7.21,8.12,0.83,0.1,55.64,0.12,6.41,0.83,1.02,2.52,0.01,8.26,16.22,3.29,5.54
109,LITH03626751-LMCD005-321.8,Basalt,Rock,-28.49,121.08,454,-322.0,-322.0,Unknown,Mount Clifford/Marshall Pool,"Mount Newman, SCOTIA NICKEL LTD",0.57,0.22,0.9,12.22,0.13,0.72,,1491.07,18100.0,0.19,0.71,2472.16,0.55,114.47,4.44,0.55,1.88,2415.0,1.57,10.0,,,0.08,0.29,0.08,0.2153,0.44,,0.48348,0.08,0.55,,0.02,42.64,0.23,2.38,0.25,1.05,0.01,0.35,13.8,4.72,0.08,34.05
110,LITH03626751-21613/3,Basalt,Rock,-27.24,120.53,556,0.0,0.0,Unknown,Mount Keith Monument Unit,Monument Unit,,,,,,,59.97,45.08,52.33024,,,496.42,,,,,,840.0,,,0.0,,,,,,,,,,,,0.0,50.11,0.13,13.22,0.62,1.03,0.09,0.12,8.37,12.19,1.79,12.24
111,LITH03626751-HWD16-301.30,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,6.0,0.0,1300.0,,,4107.46,,,,,,10778.0,,,,284.0,,,,,,,,,,,0.0,40.74,0.04,0.26,0.05,0.0,0.05,1.57,4.97,1.3,0.01,50.55
113,LITH03626751-LMCD005-298.8,Basalt,Rock,-28.49,121.08,454,-299.0,-299.0,Unknown,Mount Clifford/Marshall Pool,"Mount Newman, SCOTIA NICKEL LTD",0.56,0.16,0.91,13.59,0.13,0.76,,2516.75,29400.0,0.19,0.74,2552.0,0.54,92.91,5.66,0.56,1.97,1735.0,1.67,24.92,,,0.08,0.32,0.08,0.1659,0.45,,0.29914,0.07,0.56,,0.02,41.53,0.15,3.36,0.27,1.0,0.02,0.25,13.6,4.37,0.11,34.88
115,LITH03626751-FOD2-177.35,Basalt,Rock,-32.27,119.74,426,0.0,0.0,Unknown,Antimony Nickel,Central,1.3,0.4,2.4,34.0,0.2,1.5,28.0,,0.0,0.4,1.8,359.37,1.6,223.0,13.0,1.2,5.6,554.0,4.3,68.0,,43.0,0.2,0.7,0.1,,,,,0.2,,,0.0,53.72,0.11,8.38,0.64,1.31,0.05,0.08,10.61,11.67,2.62,10.77
