,sample_name,sample_material,sample_type,latitude,longitude,elevation_ground,min_depth,max_depth,location_type,location_name,location_comment,Er,Eu,Dy,Zr,Tb,Gd,Zn,Cu,S,Ho,La,Ni,Yb,V,Y,Sm,Ce,Cr,Nd,Sr,Ba,Co,Lu,Pr,Tm,Pt,Hf,Sc,Pd,Th,Nb,Ta,P2O5,SiO2,MnO,CaO,TiO2,Fe2O3,K2O,Cr2O3,FeO,Al2O3,Na2O,MgO
523,LITH03626751-HWD26A-250.00,Basalt,Rock,-26.89,120.38,503,0.0,0.0,Unknown,Honeymoon Well,East side barren flows,,,,,,,490.0,860.0,12900.0,,,3210.05,,,,,,4891.0,,,,263.0,,,,,,,,,,,0.0,43.02,0.13,2.58,0.1,0.35,0.09,0.71,8.57,1.68,0.01,41.64
524,LITH03626751-bsd030-299.4,Dacite,Rock,-30.39,121.64,374,-299.0,-299.0,Unknown,Black Swan,"Silver Swan, lower felsics",,,,160.49,,,12.0,86.21,300.0,,,,,87.34,16.37,,,35.0,,826.49,908.37,8.73,,,,,,,,,,,0.15,69.96,0.03,6.33,0.56,0.28,1.91,0.005106259,2.27,15.82,1.71,0.94
525,LITH03626751-HWD38-315.50,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,57.0,21.0,800.0,,,2557.4,,,,,,2342.0,,,,,,,,,,,,,,,0.0,48.36,0.13,3.79,0.22,0.47,0.01,0.34,6.79,4.67,0.02,34.94
526,LITH03626751-MKD53-584,Andesite,Rock,-27.21,120.54,548,0.0,0.0,Unknown,Mount Keith MKD5 Deposit,"Constriction 1, Constriction 1, BHP BILLITON LTD",,,,,,,25.03,5.01,100.0,,,,,,,,,80.0,,,0.0,,,,,,,,,,,,0.0,61.51,0.1,7.59,0.57,0.7,0.31,0.01,5.72,15.4,4.07,3.98
527,LITH03626751-BSD080-224.40iv,Dacite,Rock,-30.38,121.64,376,0.0,0.0,Unknown,Black Swan,"North of SS, LUM S oc",,,,219.46,,,75.0,1.04,,,,,,67.6,20.8,,,44.0,,325.56,40.56,13.52,,,,,,,,,,,0.53,60.09,0.02,0.93,0.71,0.46,0.03,0.006384799,3.73,19.41,8.1,5.93
528,LITH03626751-SXB04702,Basalt,Rock,-31.34,119.41,395,-49.0,-49.0,Unknown,Glendower,"Target 10, SONS OF GWALIA LTD",1.23,0.52,1.96,38.18,0.25,1.44,91.24,91.34,,0.39,1.96,923.22,1.29,208.11,,1.18,4.64,2246.0,3.81,,,93.56,0.16,0.74,0.16,0.01651,0.0,,0.0129,0.2,1.54,0.0,0.04,49.54,0.23,9.21,0.56,1.29,0.06,0.32,10.45,9.74,1.17,17.24
529,LITH03626751-HWD38-156.00,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,,101.0,3200.0,,,4150.09,,,,,,1652.0,,,,,,,,,,,,,,,0.0,41.26,0.08,0.5,0.03,0.0,0.04,0.24,5.71,0.44,0.11,50.97
530,LITH03626751-WAM024-291.3,Andesite,Rock,-27.83,120.72,506,0.0,0.0,Unknown,Perseverance,,,,,,,,128.58,179.18,1900.0,,,,,,,,,216.0,,,0.0,76.79,,,,,,,,,,,0.0,53.08,0.26,11.72,1.16,1.17,0.75,0.03,9.5,16.35,1.36,4.68
531,LITH03626751-BSD101-514.85,Dacite,Rock,-30.39,121.65,368,-515.0,-515.0,Unknown,Black Swan,"Southern flank, lower felsics",,,,136.22,,,55.0,4.25,,,,,,75.43,20.18,,,37.0,,134.94,115.1,12.68,,,,,,,,,10.0,,0.13,70.76,0.1,3.03,0.51,0.5,0.41,0.005556049,4.06,15.75,1.25,3.5
533,LITH03626751-SXB04769,Basalt,Rock,-31.58,119.68,393,0.0,0.0,Unknown,Harris Find,Target 24,4.29,2.95,8.85,53.63,1.44,10.14,133.12,49.85,,1.63,26.82,,3.57,191.35,,9.32,24.23,1042.0,38.1,,,57.6,0.49,8.47,0.57,0.02433,0.0,,0.01346,1.96,2.07,0.0,0.01,53.66,0.16,10.26,0.52,1.15,0.22,0.15,9.39,13.04,2.1,9.25
