sample_name,sample_material,sample_type,latitude,longitude,elevation_ground,min_depth,max_depth,location_type,location_name,location_comment,Er,Eu,Dy,Zr,Tb,Gd,Zn,Cu,S,Ho,La,Ni,Yb,V,Y,Sm,Ce,Cr,Nd,Sr,Ba,Co,Lu,Pr,Tm,Pt,Hf,Sc,Pd,Th,Nb,Ta,P2O5,SiO2,MnO,CaO,TiO2,Fe2O3,K2O,Cr2O3,FeO,Al2O3,Na2O,MgO
LITH03626751-21617/2,Basalt,Rock,-27.24,120.53,556,0,0,Unknown,Mount Keith Monument Unit,Monument Unit,,,,,,,84.96,45.1,51.11169,,,338.67,,,,,,680,,,0,,,,,,,,,,,,0,51.78,0.17,11.05,0.55,1.05,0.1,0.09,8.57,11.53,4.52,10.43
LITH03626751-MID04-226.0,Basalt,Rock,-27.21,120.54,548,0,0,Unknown,Mount Keith MKD5 Deposit,MK Unit,,,,,,,140.55,120.68,300,,,549.25,,,,,,884,,,0,,,,,,,,,,,,0,51.4,0.18,10.48,0.5,1.18,0.4,0.12,9.6,11.8,1.46,12.82
LITH03626751-AMP-HM-120521-003C,Basalt,Rock,-23.0958,117.87456,504,0,0,Unknown,Paraburdoo East,"South of Tom Price Syncline, South Hamersley Basin",3.24,1.27,5.08,112.48,0.72,4.44,93.73,147.49,100,1.06,14.58,0,2.92,235.38,26.87,3.81,31.45,264,16.24,312.46,420.36,50.45,0.4,3.86,0.43,,3.02,33.32,,2.81,7.29,0.83,0.17,51.22,0.16,10.68,1.28,1.23,1.06,0.03,9.98,15.33,2.23,6.61
LITH03626751-AMP-HM-120529-055,Basalt,Rock,-22.628134,117.78359,733,0,0,Unknown,Pipeline,"North of Tom Price Syncline, South Hamersley Basin",3.96,1.35,6.19,166.89,0.92,5.48,100.13,76.08,100,1.37,28.05,0,3.53,205.49,32.23,5.55,56.95,86,25.97,166.37,396.9,47.48,0.55,6.61,0.58,,4.69,31.29,,8.97,10.53,0.93,0.15,57.69,0.15,7.77,0.94,1.03,1.72,0.01,8.37,14.65,2.08,5.4
LITH03626751-SXB04682,Dacite,Rock,-31.173653,119.25798,383,0,0,Unknown,Bullfinch,,1.87,0.66,3.03,171.68,0.38,2.43,44.39,35.39,300,0.64,3.86,,1.87,334.13,,1.87,9.28,53,6.74,,,23,0.3,1.45,0.28,,0,,,5.96,7.18,0,0.02,65.32,0.05,0.07,1.55,1.88,0.05,0.007735268,15.25,15.58,0.03,0.14
LITH03626751-SXB04782,Basalt,Rock,-31.4,119.46,432,0,0,Unknown,May Queen,Target 39,1.14,0.47,1.86,15.35,0.31,1.86,58.36,16.68,,0.37,4.77,,1.08,110.4,,1.6,8.3,2059,6.12,,,86.75,0.16,1.41,0.16,,0,,,0.83,0.51,0,0.008301578,56.51,0.19,3.61,0.37,1.31,0.03,0.3,10.67,4.63,0.17,22.1
LITH03626751-BSD079-191.03,Dacite,Rock,-30.39,121.63,376,-191,-191,Unknown,Black Swan,"Northern flank, Northern flank",,,,180.62,,,49,27.15,73.10476,,,,,75.17,14.61,,,45,,581.54,246.39,12.53,,,,,,,,,,,0.26,66.64,0.06,3.05,0.66,0.38,0.18,0.006561507,3.1,15.44,7.59,2.59
LITH03626751-SSD667-194.0,Basalt,Rock,-28.74,121.26,415,0,0,Unknown,Sullivans South,Sullivans South Extension?,1.29,2.43,3.3,231.45,0.72,6.35,74.39,16.55,100,0.56,72.84,,1.08,115.72,,9.81,149.82,453,61.78,,,,0.15,16.84,0.2,0.00103,,,0.00103,12.7,5.57,,0.38,56.18,0.14,5.94,0.66,0.73,0.59,0.06,5.92,14.36,5.6,9.37
LITH03626751-WAP050-1043.5,Basalt,Rock,-27.8,120.7,521,0,0,Unknown,Perseverance,PU North,1.49,0.69,,46.31,0.36,2.18,56,52,,0.51,9.49,451.85,1.42,204,10.78,1.95,19.38,1171,9.27,223,73,18,0.2,2.33,0.2,0.00124,,,0.00044,,,,,53.34,0.15,12.37,0.58,0.85,0.48,0.17,6.89,11.85,1.41,11.85
LITH03626751-SXB04537,Andesite,Rock,-31.54,119.57,440,-369.5,-369.5,Unknown,Great Victoria Gold,GVG,,,,140.69,,,,81.81,10800,,,,,201.14,,,,708,,,,,,,,,,,,,,,0.04,59.4,0.27,6.85,0.65,0.7,4.04,0.1,5.67,17,2.11,3.66
LITH03626751-BSD062-277.1,Dacite,Rock,-30.39,121.63,376,-277,-277,Unknown,Black Swan,"North of SS, LUM S oc",,,,148.5,,,20,4,,,,,,81.68,15.91,,,,,172.9,492,10,,,,,,,,,7,,0.23,69.23,0.05,2.93,0.85,0.27,1.59,,2.16,15.93,5.76,1
LITH03626751-BSD092-546.0,Dacite,Rock,-30.39,121.63,376,-546,-546,Unknown,Black Swan,North of SS,0.73,0.73,1.2,86.05,0.2,1.84,177,174.6,2700,0.21,9.38,,1.2,244.76,25.7,2.68,21.79,602,12.51,118.46,196.7,58.94,0.17,2.84,0.12,,,,,1.5,,,0.1,58.01,0.11,3.64,0.9,1.56,1.28,0.08,12.66,16.48,0.87,4.19
LITH03626751-MKD19-1131,Andesite,Rock,-27.21,120.54,548,0,0,Unknown,Mount Keith MKD5 Deposit,MKD5 pod south,,,,,,,709.13,4.99,700,,,,,,,,,35,,,0,,,,,,,,,,,,0,57.9,0.69,1.09,0.01,3.7,0.37,0.005109184,30.04,2.79,0.17,3.22
LITH03626751-RV9MG,Basalt,Rock,-33.57,120.03,253,0,0,Unknown,Ravensthorpe,,,,,10.75,,,111.03,2.44,,,,972.96,,51.96,48,,,1967,,23.44,10.14,,,,,0.00171,,,0.00213,,,,0.01,55.5,0.15,11.99,0.19,1.28,0.04,0.28,10.38,2.07,0.16,17.8
LITH03626751-HWD26A-249.60,Basalt,Rock,-26.89,120.38,503,0,0,Unknown,Honeymoon Well,East side barren flows,,,,,,,181,848,4400,,,3340.33,,,,,,2011,,,,96,,,,,,,,,,,0,47.11,0.06,0.25,0.06,0.24,0.04,0.29,7.46,1.22,0.03,42.95
